+-----+----------------------------------------------------------------------------------------------+------------------------+--------------------+-------+-------+
| id  |                                             name                                             |          type          |        city        | state |  zip  |
+-----+----------------------------------------------------------------------------------------------+------------------------+--------------------+-------+-------+
| 1   | Abby Kelley Foster Charter Public (District)                                                 | Charter District       | Worcester          | MA    | 01606 |
| 2   | Abington                                                                                     | Public School District | Abington           | MA    | 02351 |
| 3   | Academy Of the Pacific Rim Charter Public (District)                                         | Charter District       | Hyde Park          | MA    | 02136 |
| 4   | Acton (non-op)                                                                               | Public School District | Acton              | MA    | 01720 |
| 5   | Acton-Boxborough                                                                             | Public School District | Acton              | MA    | 01720 |
| 6   | Acushnet                                                                                     | Public School District | Acushnet           | MA    | 02743 |
| 7   | Adams (non-op)                                                                               | Public School District | Cheshire           | MA    | 01225 |
| 8   | Advanced Math and Science Academy Charter (District)                                         | Charter District       | Marlborough        | MA    | 01752 |
| 9   | Agawam                                                                                       | Public School District | Feeding Hills      | MA    | 01030 |
| 10  | Alford (non-op)                                                                              | Public School District | Sheffield          | MA    | 01257 |
| 11  | Alma del Mar Charter School (District)                                                       | Charter District       | New Bedford        | MA    | 02746 |
| 12  | Amesbury                                                                                     | Public School District | Amesbury           | MA    | 01913 |
| 13  | Amherst                                                                                      | Public School District | Amherst            | MA    | 01002 |
| 14  | Amherst-Pelham                                                                               | Public School District | Amherst            | MA    | 01002 |
| 15  | Andover                                                                                      | Public School District | Andover            | MA    | 01810 |
| 16  | Aquinnah (non-op)                                                                            | Public School District | Vineyard Haven     | MA    | 02568 |
| 17  | Argosy Collegiate Charter School (District)                                                  | Charter District       | Fall River         | MA    | 02724 |
| 18  | Arlington                                                                                    | Public School District | Arlington          | MA    | 02476 |
| 19  | Ashburnham (non-op)                                                                          | Public School District | Ashburnham         | MA    | 01430 |
| 20  | Ashburnham-Westminster                                                                       | Public School District | Ashburnham         | MA    | 01430 |
| 21  | Ashby (non-op)                                                                               | Public School District | Townsend           | MA    | 01469 |
| 22  | Ashfield (non-op)                                                                            | Public School District | Shelburne Falls    | MA    | 01370 |
| 23  | Ashland                                                                                      | Public School District | Ashland            | MA    | 01721 |
| 24  | Assabet Valley Regional Vocational Technical                                                 | Public School District | Marlborough        | MA    | 01752 |
| 25  | Athol (non-op)                                                                               | Public School District | Athol              | MA    | 01331 |
| 26  | Athol-Royalston                                                                              | Public School District | Athol              | MA    | 01331 |
| 27  | Atlantis Charter (District)                                                                  | Charter District       | Fall River         | MA    | 02721 |
| 28  | Attleboro                                                                                    | Public School District | Attleboro          | MA    | 02703 |
| 29  | Auburn                                                                                       | Public School District | Auburn             | MA    | 01501 |
| 30  | Avon                                                                                         | Public School District | Avon               | MA    | 02322 |
| 31  | Ayer (non-op)                                                                                | Public School District | Ayer               | MA    | 01432 |
| 32  | Ayer Shirley School District                                                                 | Public School District | Ayer               | MA    | 01432 |
| 33  | Barnstable                                                                                   | Public School District | Hyannis            | MA    | 02601 |
| 34  | Barre (non-op)                                                                               | Public School District | Barre              | MA    | 01005 |
| 35  | Baystate Academy Charter Public School (District)                                            | Charter District       | Springfield        | MA    | 01104 |
| 36  | Becket (non-op)                                                                              | Public School District | Dalton             | MA    | 01227 |
| 37  | Bedford                                                                                      | Public School District | Bedford            | MA    | 01730 |
| 38  | Belchertown                                                                                  | Public School District | Belchertown        | MA    | 01007 |
| 39  | Bellingham                                                                                   | Public School District | Bellingham         | MA    | 02019 |
| 40  | Belmont                                                                                      | Public School District | Belmont            | MA    | 02478 |
| 41  | Benjamin Banneker Charter Public (District)                                                  | Charter District       | Cambridge          | MA    | 02140 |
| 42  | Benjamin Franklin Classical Charter Public (District)                                        | Charter District       | Franklin           | MA    | 02038 |
| 43  | Berkley                                                                                      | Public School District | Berkley            | MA    | 02779 |
| 44  | Berkshire Arts and Technology Charter Public (District)                                      | Charter District       | Adams              | MA    | 01220 |
| 45  | Berkshire Hills                                                                              | Public School District | Stockbridge        | MA    | 01262 |
| 46  | Berlin (non-op)                                                                              | Public School District | Boylston           | MA    | 01505 |
| 47  | Berlin-Boylston                                                                              | Public School District | Boylston           | MA    | 01505 |
| 48  | Bernardston (non-op)                                                                         | Public School District | Northfield         | MA    | 01360 |
| 49  | Beverly                                                                                      | Public School District | Beverly            | MA    | 01915 |
| 50  | Billerica                                                                                    | Public School District | Billerica          | MA    | 01821 |
| 51  | Blackstone (non-op)                                                                          | Public School District | Blackstone         | MA    | 01504 |
| 52  | Blackstone Valley Regional Vocational Technical                                              | Public School District | Upton              | MA    | 01568 |
| 53  | Blackstone-Millville                                                                         | Public School District | Blackstone         | MA    | 01504 |
| 54  | Blandford (non-op)                                                                           | Public School District | Huntington         | MA    | 01050 |
| 55  | Blue Hills Regional Vocational Technical                                                     | Public School District | Canton             | MA    | 02021 |
| 56  | Bolton (non-op)                                                                              | Public School District | Bolton             | MA    | 01740 |
| 57  | Boston                                                                                       | Public School District | Roxbury            | MA    | 02119 |
| 58  | Boston Collegiate Charter (District)                                                         | Charter District       | Dorchester         | MA    | 02125 |
| 59  | Boston Day and Evening Academy Charter (District)                                            | Charter District       | Roxbury            | MA    | 02119 |
| 60  | Boston Green Academy Horace Mann Charter School (District)                                   | Charter District       | Brighton           | MA    | 02135 |
| 61  | Boston Preparatory Charter Public (District)                                                 | Charter District       | Hyde Park          | MA    | 02136 |
| 62  | Boston Renaissance Charter Public (District)                                                 | Charter District       | Hyde Park          | MA    | 02136 |
| 63  | Bourne                                                                                       | Public School District | Bourne             | MA    | 02532 |
| 64  | Boxborough (non-op)                                                                          | Public School District | Boxborough         | MA    | 01719 |
| 65  | Boxford                                                                                      | Public School District | Boxford            | MA    | 01921 |
| 66  | Boylston (non-op)                                                                            | Public School District | Boylston           | MA    | 01505 |
| 67  | Braintree                                                                                    | Public School District | Braintree          | MA    | 02184 |
| 68  | Brewster                                                                                     | Public School District | Orleans            | MA    | 02653 |
| 69  | Bridge Boston Charter School (District)                                                      | Charter District       | Roxbury            | MA    | 02119 |
| 70  | Bridgewater (non-op)                                                                         | Public School District | Bridgewater        | MA    | 02324 |
| 71  | Bridgewater-Raynham                                                                          | Public School District | Bridgewater        | MA    | 02324 |
| 72  | Brimfield                                                                                    | Public School District | Fiskdale           | MA    | 01518 |
| 73  | Bristol County Agricultural                                                                  | Public School District | Dighton            | MA    | 02715 |
| 74  | Bristol-Plymouth Regional Vocational Technical                                               | Public School District | Taunton            | MA    | 02780 |
| 75  | Brockton                                                                                     | Public School District | Brockton           | MA    | 02301 |
| 76  | Brooke Charter School (District)                                                             | Charter District       | Roslindale         | MA    | 02131 |
| 77  | Brookfield                                                                                   | Public School District | Fiskdale           | MA    | 01518 |
| 78  | Brookline                                                                                    | Public School District | Brookline          | MA    | 02445 |
| 79  | Buckland (non-op)                                                                            | Public School District | Shelburne Falls    | MA    | 01370 |
| 80  | Burlington                                                                                   | Public School District | Burlington         | MA    | 01803 |
| 81  | Cambridge                                                                                    | Public School District | Cambridge          | MA    | 02141 |
| 82  | Canton                                                                                       | Public School District | Canton             | MA    | 02021 |
| 83  | Cape Cod Lighthouse Charter (District)                                                       | Charter District       | East Harwich       | MA    | 02645 |
| 84  | Cape Cod Regional Vocational Technical                                                       | Public School District | Harwich            | MA    | 02645 |
| 85  | Carlisle                                                                                     | Public School District | Carlisle           | MA    | 01741 |
| 86  | Carver                                                                                       | Public School District | Carver             | MA    | 02330 |
| 87  | Central Berkshire                                                                            | Public School District | Dalton             | MA    | 01227 |
| 88  | Charlemont (non-op)                                                                          | Public School District | Shelburne Falls    | MA    | 01370 |
| 89  | Charlton (non-op)                                                                            | Public School District | Dudley             | MA    | 01571 |
| 90  | Chatham (non-op)                                                                             | Public School District | Chatham            | MA    | 02633 |
| 91  | Chelmsford                                                                                   | Public School District | Chelmsford         | MA    | 01824 |
| 92  | Chelsea                                                                                      | Public School District | Chelsea            | MA    | 02150 |
| 93  | Cheshire (non-op)                                                                            | Public School District | Cheshire           | MA    | 01225 |
| 94  | Chester (non-op)                                                                             | Public School District | Huntington         | MA    | 01050 |
| 95  | Chesterfield (non-op)                                                                        | Public School District | Westhampton        | MA    | 01027 |
| 96  | Chesterfield-Goshen                                                                          | Public School District | Chesterfield       | MA    | 01012 |
| 97  | Chicopee                                                                                     | Public School District | Chicopee           | MA    | 01022 |
| 98  | Chilmark (non-op)                                                                            | Public School District | Vineyard Haven     | MA    | 02568 |
| 99  | Christa McAuliffe Charter School (District)                                                  | Charter District       | Framingham         | MA    | 01701 |
| 100 | City on a Hill Charter Public School (District)                                              | Charter District       | Roxbury            | MA    | 02119 |
| 101 | Clarksburg                                                                                   | Public School District | Clarksburg         | MA    | 01247 |
| 102 | Clinton                                                                                      | Public School District | Clinton            | MA    | 01510 |
| 103 | Codman Academy Charter Public (District)                                                     | Charter District       | Dorchester         | MA    | 02124 |
| 104 | Cohasset                                                                                     | Public School District | Cohasset           | MA    | 02025 |
| 105 | Collegiate Charter School of Lowell (District)                                               | Charter District       | Lowell             | MA    | 01851 |
| 106 | Colrain (non-op)                                                                             | Public School District | Shelburne Falls    | MA    | 01370 |
| 107 | Community Charter School of Cambridge (District)                                             | Charter District       | Cambridge          | MA    | 02141 |
| 108 | Community Day Charter Public School (District)                                               | Charter District       | Lawrence           | MA    | 01841 |
| 109 | Concord                                                                                      | Public School District | Concord            | MA    | 01742 |
| 110 | Concord-Carlisle                                                                             | Public School District | Concord            | MA    | 01742 |
| 111 | Conservatory Lab Charter (District)                                                          | Charter District       | Dorchester         | MA    | 02125 |
| 112 | Conway                                                                                       | Public School District | South Deerfield    | MA    | 01373 |
| 113 | Cummington (non-op)                                                                          | Public School District | Dalton             | MA    | 01227 |
| 114 | Dalton (non-op)                                                                              | Public School District | Dalton             | MA    | 01227 |
| 115 | Danvers                                                                                      | Public School District | Danvers            | MA    | 01923 |
| 116 | Dartmouth                                                                                    | Public School District | Dartmouth          | MA    | 02748 |
| 117 | Dedham                                                                                       | Public School District | Dedham             | MA    | 02026 |
| 118 | Deerfield                                                                                    | Public School District | South Deerfield    | MA    | 01373 |
| 119 | Dennis (non-op)                                                                              | Public School District | South Yarmouth     | MA    | 02664 |
| 120 | Dennis-Yarmouth                                                                              | Public School District | South Yarmouth     | MA    | 02664 |
| 121 | Devens (non-op)                                                                              | Public School District | Devens             | MA    | 01432 |
| 122 | Dighton (non-op)                                                                             | Public School District | North Dighton      | MA    | 02764 |
| 123 | Dighton-Rehoboth                                                                             | Public School District | North Dighton      | MA    | 02764 |
| 124 | Douglas                                                                                      | Public School District | Douglas            | MA    | 01516 |
| 125 | Dover                                                                                        | Public School District | Dover              | MA    | 02030 |
| 126 | Dover-Sherborn                                                                               | Public School District | Dover              | MA    | 02030 |
| 127 | Dracut                                                                                       | Public School District | Dracut             | MA    | 01826 |
| 128 | Dudley (non-op)                                                                              | Public School District | Dudley             | MA    | 01571 |
| 129 | Dudley Street Neighborhood Charter School (District)                                         | Charter District       | Boston             | MA    | 02119 |
| 130 | Dudley-Charlton Reg                                                                          | Public School District | Dudley             | MA    | 01571 |
| 131 | Dunstable (non-op)                                                                           | Public School District | Groton             | MA    | 01450 |
| 132 | Duxbury                                                                                      | Public School District | Duxbury            | MA    | 02332 |
| 133 | East Bridgewater                                                                             | Public School District | East Bridgewater   | MA    | 02333 |
| 134 | East Brookfield (non-op)                                                                     | Public School District | Spencer            | MA    | 01562 |
| 135 | East Longmeadow                                                                              | Public School District | East Longmeadow    | MA    | 01028 |
| 136 | Eastham                                                                                      | Public School District | Orleans            | MA    | 02653 |
| 137 | Easthampton                                                                                  | Public School District | Easthampton        | MA    | 01027 |
| 138 | Easton                                                                                       | Public School District | North Easton       | MA    | 02356 |
| 139 | Edgartown                                                                                    | Public School District | Vineyard Haven     | MA    | 02568 |
| 140 | Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District) | Charter District       | Boston             | MA    | 02115 |
| 141 | Egremont (non-op)                                                                            | Public School District | Sheffield          | MA    | 01257 |
| 142 | Erving                                                                                       | Public School District | Erving             | MA    | 01344 |
| 143 | Essex (non-op)                                                                               | Public School District | Manchester         | MA    | 01944 |
| 144 | Essex North Shore Agricultural and Technical School District                                 | Public School District | Hathorne           | MA    | 01937 |
| 145 | Everett                                                                                      | Public School District | Everett            | MA    | 02149 |
| 146 | Excel Academy Charter (District)                                                             | Charter District       | East Boston        | MA    | 02128 |
| 147 | Fairhaven                                                                                    | Public School District | Fairhaven          | MA    | 02719 |
| 148 | Fall River                                                                                   | Public School District | Fall River         | MA    | 02720 |
| 149 | Falmouth                                                                                     | Public School District | East Falmouth      | MA    | 02536 |
| 150 | Farmington River Reg                                                                         | Public School District | Otis               | MA    | 01253 |
| 151 | Fitchburg                                                                                    | Public School District | Fitchburg          | MA    | 01420 |
| 152 | Florida                                                                                      | Public School District | Florida            | MA    | 01247 |
| 153 | Four Rivers Charter Public (District)                                                        | Charter District       | Greenfield         | MA    | 01301 |
| 154 | Foxborough                                                                                   | Public School District | Foxborough         | MA    | 02035 |
| 155 | Foxborough Regional Charter (District)                                                       | Charter District       | Foxborough         | MA    | 02035 |
| 156 | Framingham                                                                                   | Public School District | Framingham         | MA    | 01702 |
| 157 | Francis W. Parker Charter Essential (District)                                               | Charter District       | Devens             | MA    | 01434 |
| 158 | Franklin                                                                                     | Public School District | Franklin           | MA    | 02038 |
| 159 | Franklin County Regional Vocational Technical                                                | Public School District | Turners Falls      | MA    | 01376 |
| 160 | Freetown (non-op)                                                                            | Public School District | Lakeville          | MA    | 02347 |
| 161 | Freetown-Lakeville                                                                           | Public School District | Lakeville          | MA    | 02347 |
| 162 | Frontier                                                                                     | Public School District | South Deerfield    | MA    | 01373 |
| 163 | Gardner                                                                                      | Public School District | Gardner            | MA    | 01440 |
| 164 | Gateway                                                                                      | Public School District | Huntington         | MA    | 01050 |
| 165 | Georgetown                                                                                   | Public School District | Georgetown         | MA    | 01833 |
| 166 | Gill (non-op)                                                                                | Public School District | Turners Falls      | MA    | 01376 |
| 167 | Gill-Montague                                                                                | Public School District | Turners Falls      | MA    | 01376 |
| 168 | Global Learning Charter Public (District)                                                    | Charter District       | New Bedford        | MA    | 02746 |
| 169 | Gloucester                                                                                   | Public School District | Gloucester         | MA    | 01930 |
| 170 | Goshen (non-op)                                                                              | Public School District | Westhampton        | MA    | 01027 |
| 171 | Gosnold                                                                                      | Public School District | East Falmouth      | MA    | 02536 |
| 172 | Grafton                                                                                      | Public School District | Grafton            | MA    | 01519 |
| 173 | Granby                                                                                       | Public School District | Granby             | MA    | 01033 |
| 174 | Granville (non-op)                                                                           | Public School District | Southwick          | MA    | 01077 |
| 175 | Great Barrington (non-op)                                                                    | Public School District | Housatonic         | MA    | 01236 |
| 176 | Greater Commonwealth Virtual District                                                        | Public School District | Greenfield         | MA    | 01301 |
| 177 | Greater Fall River Regional Vocational Technical                                             | Public School District | Fall River         | MA    | 02723 |
| 178 | Greater Lawrence Regional Vocational Technical                                               | Public School District | Andover            | MA    | 01810 |
| 179 | Greater Lowell Regional Vocational Technical                                                 | Public School District | Tyngsborough       | MA    | 01879 |
| 180 | Greater New Bedford Regional Vocational Technical                                            | Public School District | New Bedford        | MA    | 02745 |
| 181 | Greenfield                                                                                   | Public School District | Greenfield         | MA    | 01301 |
| 182 | Groton (non-op)                                                                              | Public School District | Groton             | MA    | 01450 |
| 183 | Groton-Dunstable                                                                             | Public School District | Groton             | MA    | 01450 |
| 184 | Groveland (non-op)                                                                           | Public School District | West Newbury       | MA    | 01985 |
| 185 | Hadley                                                                                       | Public School District | Hadley             | MA    | 01035 |
| 186 | Halifax                                                                                      | Public School District | Kingston           | MA    | 02364 |
| 187 | Hamilton (non-op)                                                                            | Public School District | Wenham             | MA    | 01984 |
| 188 | Hamilton-Wenham                                                                              | Public School District | Wenham             | MA    | 01984 |
| 189 | Hampden (non-op)                                                                             | Public School District | Wilbraham          | MA    | 01095 |
| 190 | Hampden Charter School of Science East (District)                                            | Charter District       | Chicopee           | MA    | 01022 |
| 191 | Hampden Charter School of Science West (District)                                            | Charter District       | West Springfield   | MA    | 01089 |
| 192 | Hampden-Wilbraham                                                                            | Public School District | Wilbraham          | MA    | 01095 |
| 193 | Hampshire                                                                                    | Public School District | Westhampton        | MA    | 01027 |
| 194 | Hancock                                                                                      | Public School District | HANCOCK            | MA    | 01237 |
| 195 | Hanover                                                                                      | Public School District | Hanover            | MA    | 02339 |
| 196 | Hanson (non-op)                                                                              | Public School District | Whitman            | MA    | 02382 |
| 197 | Hardwick (non-op)                                                                            | Public School District | Gilbertville       | MA    | 01031 |
| 198 | Harvard                                                                                      | Public School District | Harvard            | MA    | 01451 |
| 199 | Harwich (non-op)                                                                             | Public School District | Chatham            | MA    | 02633 |
| 200 | Hatfield                                                                                     | Public School District | Hatfield           | MA    | 01038 |
| 201 | Haverhill                                                                                    | Public School District | Haverhill          | MA    | 01830 |
| 202 | Hawlemont                                                                                    | Public School District | Shelburne Falls    | MA    | 01370 |
| 203 | Hawley (non-op)                                                                              | Public School District | Shelburne Falls    | MA    | 01370 |
| 204 | Heath (non-op)                                                                               | Public School District | Shelburne Falls    | MA    | 01370 |
| 205 | Helen Y. Davis Leadership Academy Charter Public (District)                                  | Charter District       | Boston             | MA    | 02122 |
| 206 | Hill View Montessori Charter Public (District)                                               | Charter District       | Haverhill          | MA    | 01835 |
| 207 | Hilltown Cooperative Charter Public (District)                                               | Charter District       | Easthampton        | MA    | 01039 |
| 208 | Hingham                                                                                      | Public School District | Hingham            | MA    | 02043 |
| 209 | Hinsdale (non-op)                                                                            | Public School District | Dalton             | MA    | 01227 |
| 210 | Holbrook                                                                                     | Public School District | Holbrook           | MA    | 02343 |
| 211 | Holden (non-op)                                                                              | Public School District | Jefferson          | MA    | 01522 |
| 212 | Holland                                                                                      | Public School District | Fiskdale           | MA    | 01518 |
| 213 | Holliston                                                                                    | Public School District | Holliston          | MA    | 01746 |
| 214 | Holyoke                                                                                      | Public School District | Holyoke            | MA    | 01040 |
| 215 | Holyoke Community Charter (District)                                                         | Charter District       | Holyoke            | MA    | 01040 |
| 216 | Hoosac Valley Regional                                                                       | Public School District | Cheshire           | MA    | 01225 |
| 217 | Hopedale                                                                                     | Public School District | Hopedale           | MA    | 01747 |
| 218 | Hopkinton                                                                                    | Public School District | Hopkinton          | MA    | 01748 |
| 219 | Hubbardston (non-op)                                                                         | Public School District | Hubbardston        | MA    | 01452 |
| 220 | Hudson                                                                                       | Public School District | Hudson             | MA    | 01749 |
| 221 | Hull                                                                                         | Public School District | Hull               | MA    | 02045 |
| 222 | Huntington (non-op)                                                                          | Public School District | Huntington         | MA    | 01050 |
| 223 | Innovation Academy Charter (District)                                                        | Charter District       | Tyngsborough       | MA    | 01879 |
| 224 | Institutional Schools                                                                        | Public School District | Malden             | MA    | 02148 |
| 225 | Ipswich                                                                                      | Public School District | Ipswich            | MA    | 01938 |
| 226 | KIPP Academy Boston Charter School (District)                                                | Charter District       | Mattapan           | MA    | 02126 |
| 227 | KIPP Academy Lynn Charter (District)                                                         | Charter District       | Lynn               | MA    | 01902 |
| 228 | King Philip                                                                                  | Public School District | Norfolk            | MA    | 02056 |
| 229 | Kingston                                                                                     | Public School District | Kingston           | MA    | 02364 |
| 230 | Lakeville (non-op)                                                                           | Public School District | Lakeville          | MA    | 02347 |
| 231 | Lancaster (non-op)                                                                           | Public School District | Bolton             | MA    | 01740 |
| 232 | Lanesborough (non-op)                                                                        | Public School District | Williamstown       | MA    | 01267 |
| 233 | Lawrence                                                                                     | Public School District | Lawrence           | MA    | 01840 |
| 234 | Lawrence Family Development Charter (District)                                               | Charter District       | Lawrence           | MA    | 01840 |
| 235 | Learning First Charter Public School (District)                                              | Charter District       | Worcester          | MA    | 01610 |
| 236 | Lee                                                                                          | Public School District | Lee                | MA    | 01238 |
| 237 | Leicester                                                                                    | Public School District | Leicester          | MA    | 01524 |
| 238 | Lenox                                                                                        | Public School District | Lenox              | MA    | 01240 |
| 239 | Leominster                                                                                   | Public School District | Leominster         | MA    | 01453 |
| 240 | Leverett                                                                                     | Public School District | Erving             | MA    | 01344 |
| 241 | Lexington                                                                                    | Public School District | Lexington          | MA    | 02420 |
| 242 | Leyden (non-op)                                                                              | Public School District | Northfield         | MA    | 01360 |
| 243 | Libertas Academy Charter School (District)                                                   | Charter District       | Springfield        | MA    | 01103 |
| 244 | Lincoln                                                                                      | Public School District | Lincoln            | MA    | 01773 |
| 245 | Lincoln-Sudbury                                                                              | Public School District | Sudbury            | MA    | 01776 |
| 246 | Littleton                                                                                    | Public School District | Littleton          | MA    | 01460 |
| 247 | Longmeadow                                                                                   | Public School District | Longmeadow         | MA    | 01106 |
| 248 | Lowell                                                                                       | Public School District | Lowell             | MA    | 01852 |
| 249 | Lowell Community Charter Public (District)                                                   | Charter District       | Lowell             | MA    | 01852 |
| 250 | Lowell Middlesex Academy Charter (District)                                                  | Charter District       | Lowell             | MA    | 01852 |
| 251 | Ludlow                                                                                       | Public School District | Ludlow             | MA    | 01056 |
| 252 | Lunenburg                                                                                    | Public School District | Lunenburg          | MA    | 01462 |
| 253 | Lynn                                                                                         | Public School District | Lynn               | MA    | 01905 |
| 254 | Lynnfield                                                                                    | Public School District | Lynnfield          | MA    | 01940 |
| 255 | Ma Academy for Math and Science                                                              | Public School District | Worcester          | MA    | 01605 |
| 256 | Malden                                                                                       | Public School District | Malden             | MA    | 02148 |
| 257 | Manchester (non-op)                                                                          | Public School District | Manchester         | MA    | 01944 |
| 258 | Manchester Essex Regional                                                                    | Public School District | Manchester         | MA    | 01944 |
| 259 | Mansfield                                                                                    | Public School District | Mansfield          | MA    | 02048 |
| 260 | Map Academy Charter School (District)                                                        | Charter District       | Plymouth           | MA    | 02360 |
| 261 | Marblehead                                                                                   | Public School District | Marblehead         | MA    | 01945 |
| 262 | Marblehead Community Charter Public (District)                                               | Charter District       | Marblehead         | MA    | 01945 |
| 263 | Marion                                                                                       | Public School District | Mattapoisett       | MA    | 02739 |
| 264 | Marlborough                                                                                  | Public School District | Marlborough        | MA    | 01752 |
| 265 | Marshfield                                                                                   | Public School District | Marshfield         | MA    | 02050 |
| 266 | Martha's Vineyard                                                                            | Public School District | Vineyard Haven     | MA    | 02568 |
| 267 | Martha's Vineyard Charter Public School (District)                                           | Charter District       | West Tisbury       | MA    | 02575 |
| 268 | Martin Luther King, Jr. Charter School of Excellence (District)                              | Charter District       | Springfield        | MA    | 01108 |
| 269 | Masconomet                                                                                   | Public School District | Boxford            | MA    | 01921 |
| 270 | Mashpee                                                                                      | Public School District | Mashpee            | MA    | 02649 |
| 271 | Match Charter Public School (District)                                                       | Charter District       | Boston             | MA    | 02215 |
